	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	ENSMUSG00000000303	11959.889451308	0.44501460587391	0.0424839323009842	10.4748920773419	1.12666038415883e-25	1.04772099750251e-23
2	ENSMUSG00000000544	236.810588358334	1.1634751107289	0.152886807033252	7.61004257532733	2.74005646103847e-14	1.19271576226541e-12
3	ENSMUSG00000000628	3904.64593806744	0.248973473189313	0.0525563778145843	4.73726469635476	2.16622148894224e-06	3.43168782556878e-05
4	ENSMUSG00000000958	380.883796741395	0.528067094647549	0.133922612798612	3.94307640518961	8.04430131948084e-05	0.000940055653506274
5	ENSMUSG00000001082	796.904136457509	0.321211448770462	0.096749609567817	3.3200283722624	0.000900083000411117	0.00771861595741773
6	ENSMUSG00000001089	3940.45785141572	0.465760378630144	0.0560569293596244	8.30870302656308	9.67537246863986e-17	5.28858813448059e-15
7	ENSMUSG00000001248	109.763706762444	0.732854388025366	0.222536749693697	3.29318366082941	0.000990597434525167	0.00833510332540242
8	ENSMUSG00000001281	90.8742184597652	1.49245887741432	0.243729025231703	6.12343513865658	9.15791450206242e-10	2.50765762110967e-08
9	ENSMUSG00000001288	1687.66128378663	0.307495067816991	0.0734752932373678	4.18501314208578	2.85149603415071e-05	0.000369224906917471
10	ENSMUSG00000001418	1187.31860021515	0.248576939722205	0.0722900193981741	3.43860662635931	0.000584716217548102	0.00535746701951783
11	ENSMUSG00000001424	7807.38727713609	0.147393014107892	0.0418838157598459	3.51909231367593	0.0004330260043923	0.00411777251587127
12	ENSMUSG00000001435	12480.8377238632	0.627250359047861	0.0430284391029635	14.5775764151449	3.90122230876404e-48	8.59529302827842e-46
13	ENSMUSG00000001436	839.777466251479	0.315953771662577	0.083401098247501	3.78836464149373	0.000151642173997097	0.00163953016842656
14	ENSMUSG00000001552	2410.28762069359	0.213979595617339	0.0621756072871821	3.44153607746832	0.000578421332428767	0.00531320135743305
15	ENSMUSG00000001622	1244.68082267181	0.83220763130118	0.0775321054788333	10.7337163896365	7.06945702494061e-27	6.98218579683962e-25
16	ENSMUSG00000001687	1774.88675874818	0.207013821571283	0.060001202884255	3.45016119044517	0.000560251924638684	0.00516969575563827
17	ENSMUSG00000001751	310.986716197936	0.534973687041939	0.16096697383544	3.32349968627014	0.000888955227692879	0.00765832755063693
18	ENSMUSG00000001918	3103.19982357809	0.589342447769899	0.0794993672305558	7.41317155469614	1.23314199886373e-13	5.13367051329286e-12
19	ENSMUSG00000001930	14.6956250173897	3.34063005451033	0.727780208977343	4.59016336704799	4.42899223336941e-06	6.64818514272608e-05
20	ENSMUSG00000002014	1276.91017448195	0.244057879515033	0.0665903590658044	3.66506327550893	0.000247277438855424	0.00253490350883932
21	ENSMUSG00000002083	279.595770625368	0.657631864598012	0.132476142174511	4.96415319621636	6.9001463512499e-07	1.20069253822904e-05
22	ENSMUSG00000002108	159.195230344709	1.49061157548886	0.180876103346273	8.24106417548811	1.70685641052657e-16	9.1550152266483e-15
23	ENSMUSG00000002250	1178.70870295979	0.37314774993998	0.0780723650234638	4.77951128837757	1.75721806573873e-06	2.84995695576946e-05
24	ENSMUSG00000002504	54.7031887789413	1.27927365633946	0.303106573019457	4.22054079393831	2.43716947157307e-05	0.000322575822572994
25	ENSMUSG00000002799	1881.99176681681	0.534755666659297	0.0584299381191849	9.15208339889915	5.58459477282881e-20	3.70263804359636e-18
26	ENSMUSG00000002804	211.811275813714	0.633863432638589	0.160829619883381	3.94121078628557	8.10713435675497e-05	0.00094392090343974
27	ENSMUSG00000002820	1763.96417602553	0.250880065354701	0.0638845483453675	3.92708521626253	8.5981523904298e-05	0.000997037573954212
28	ENSMUSG00000002845	945.462424042202	0.490747175454839	0.0797422400920427	6.15416841674366	7.5472449237819e-10	2.09872028259186e-08
29	ENSMUSG00000002900	556.486957205604	0.695934330672874	0.107425702751701	6.4782851109797	9.27709329682922e-11	2.8694871080754e-09
30	ENSMUSG00000002980	1622.21076695439	0.37306661718313	0.0635005451175531	5.87501440330164	4.22806585483095e-09	1.06602343498299e-07
31	ENSMUSG00000002992	542.33455101725	1.05992367280519	0.111249676214342	9.52743152944614	1.61222650567939e-21	1.27561855181406e-19
32	ENSMUSG00000003228	702.467489717872	0.383834373418439	0.0893575356400419	4.29548969394853	1.74308135454374e-05	0.00023594204232912
33	ENSMUSG00000003355	1068.76700209306	0.773451533110879	0.076953979384605	10.0508321895256	9.10948593549738e-24	7.85885229411193e-22
34	ENSMUSG00000003402	3156.13553817091	0.184206333193279	0.0510889123685968	3.60560295087642	0.000311428994219793	0.00310151225745595
35	ENSMUSG00000003458	2059.94680366097	0.205600591493555	0.0566744259656209	3.62774898890505	0.000285903011895993	0.00287731344579235
36	ENSMUSG00000003526	791.527381534159	0.60305737485611	0.0832023105992492	7.24808446439409	4.22706995249478e-13	1.69094605557759e-11
37	ENSMUSG00000003617	423.339760654834	1.27023652887887	0.136487323235118	9.30662642339844	1.31957045013552e-20	9.30914700314815e-19
38	ENSMUSG00000003810	4591.37557524096	0.236583546153516	0.0513462674012821	4.60760943545447	4.07324837374412e-06	6.1858950117062e-05
39	ENSMUSG00000004038	59.1950652526401	1.37704891668798	0.286088266491941	4.81337082982663	1.4840553765041e-06	2.43728865216918e-05
40	ENSMUSG00000004540	189.966313908375	0.925207188565995	0.160558712484279	5.7624228187342	8.29149631003917e-09	1.98234588741354e-07
41	ENSMUSG00000004542	20.2015304744625	2.36549693624003	0.536297981230884	4.41078844043167	1.0299490907071e-05	0.000145033440786788
42	ENSMUSG00000004668	91.8011035445674	4.1904260387736	0.334024600182227	12.5452617456544	4.22017593273525e-36	6.94679764743695e-34
43	ENSMUSG00000004880	3585.51557487415	0.260989605960669	0.049589990683039	5.26294928403635	1.41762693707848e-07	2.73609641049878e-06
44	ENSMUSG00000004896	1360.01007034248	0.296465945686912	0.0692869484882664	4.27881371824476	1.87892026574183e-05	0.000252657437799894
45	ENSMUSG00000004931	585.305143422363	0.406121271920291	0.0952468145603056	4.26388298438218	2.00904684676674e-05	0.000269649108646171
46	ENSMUSG00000004952	117.892931621546	1.62467919061846	0.226255942732055	7.18071388976728	6.93483432255002e-13	2.69142987352951e-11
