Genes	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	0.100963364921042	5953.27758477811	0.0568085071831068	1.77725784266103	0.0755258264200253	0.249890212001706
ENSMUSG00000000028	0.358573698306322	1156.35279482369	0.0716148622191967	5.00697323425423	5.5292612204003e-07	9.31167848072646e-06
ENSMUSG00000000049	-0.77737424769072	34.9767945771652	0.407126139332303	-1.90941866067758	0.0562081054216807	0.203683864028675
ENSMUSG00000000056	-0.238024184441551	789.414458993007	0.0841528415731043	-2.82847471329625	0.00467703957993873	0.029752564203624
ENSMUSG00000000058	-0.277678396970228	7504.63017864273	0.0683747605428278	-4.0611242330611	4.88369737529748e-05	0.000567897661009651
ENSMUSG00000000078	0.424001952396862	5474.02794528893	0.0534960943947785	7.9258487408054	2.26593276280254e-15	9.44862047542704e-14
ENSMUSG00000000085	-0.407699277508339	284.687024069869	0.147267196600818	-2.76843239308376	0.00563266705876938	0.0345689761488238
ENSMUSG00000000088	-0.0712145681494372	1655.97224664104	0.0717347148592881	-0.992749023804287	0.320832277689863	0.607946775043912
ENSMUSG00000000093	-2.06514507270747	0.959523750675255	2.60569199913365	-0.792551488585027	0.428039182080498	NA
ENSMUSG00000000127	-0.00121540618441728	955.940359306824	0.0948544010709761	-0.0128133873673171	0.989776675797959	0.996237446918963
ENSMUSG00000000131	0.122028991383305	2134.99818638385	0.0596659860296393	2.04520195681819	0.0408349516600628	0.161366735030408
ENSMUSG00000000134	0.421560091043181	760.992959057567	0.0872093898436735	4.83388419296185	1.33894496144922e-06	2.10631267421177e-05
ENSMUSG00000000148	-0.104548469596174	274.308038736855	0.13681721561262	-0.764147034626037	0.444779625814066	0.717141139410262
ENSMUSG00000000149	0.0529012590813751	681.152884357897	0.0893391541888793	0.592139690169129	0.553757050916319	0.796856773083919
ENSMUSG00000000154	-0.968717208603054	234.740935374186	0.165810713209729	-5.84230771251646	5.14825960688732e-09	1.14086357725678e-07
ENSMUSG00000000159	-2.00362979430245	2.54465766438064	1.52138063939124	-1.31698126190444	0.187844905600232	NA
ENSMUSG00000000167	-0.321141086343998	12.267865219848	0.615725069834038	-0.521565715085399	0.601972739694955	0.824253303644844
ENSMUSG00000000168	-0.0295234378112319	1434.9126485453	0.0655905278753388	-0.450117399075429	0.652625791747915	0.854129250852738
ENSMUSG00000000171	-0.156869878867956	2021.1825080398	0.0696464120206791	-2.25237559720059	0.0242985465015795	0.109395189739319
ENSMUSG00000000182	1.08825575883201	0.181251078280509	4.0804728567969	0.266698443299112	0.789701352587838	NA
ENSMUSG00000000184	-0.536622314753372	12387.0958182692	0.0439139543128164	-12.2198586565628	2.43507706591693e-34	2.95462670547281e-32
ENSMUSG00000000194	-0.0284062698174402	829.937458686299	0.0839585015254694	-0.338337027237473	0.735109223549464	0.895306995400304
ENSMUSG00000000197	-1.76927505286644	17.1810877853673	0.614663172912933	-2.87844649042779	0.0039963907223166	0.0259368548870991
ENSMUSG00000000204	2.61541747216735	0.540056561531662	3.40647868151653	0.767777437257582	0.442619421284453	NA
ENSMUSG00000000223	0.796417067618377	16.6531457872155	0.623461052681458	1.27741270155216	0.201456582865323	0.469345479254401
