AD_C1	AD_C2	AD_C3	KO_C1	KO_C2	KO_C3
ENSMUSG00000000001	5551.35102078174	6234.38608612412	6035.3354349982	5600.45869206826	5382.08279004413	5353.90031767062
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1035.45519213609	1025.93687551923	1081.73009450034	1088.31337085654	1001.98898140642	962.70829378068
ENSMUSG00000000031	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0
ENSMUSG00000000049	49.1696599617695	53.8392529426999	33.9288037020401	43.0730885563274	48.450084491874	31.0551062509897
ENSMUSG00000000056	897.587322047205	861.428047083198	891.130050174172	990.681036795531	1084.45721032876	1032.06469774122
ENSMUSG00000000058	7845.93515233099	9525.55967804731	8141.9149824984	7446.85842151617	6729.40748006285	6604.38592937713
ENSMUSG00000000078	4704.86158065559	5023.00289491337	4774.98016806653	4757.18333610994	4397.61830728372	4237.98683305172
ENSMUSG00000000085	310.443735444898	363.913468964545	332.302695081746	315.869316079735	340.181444304647	331.254466677223
ENSMUSG00000000088	1746.00498413264	1642.09721475235	1873.06954555086	1756.42483335246	1843.16491641427	1730.80458838849
ENSMUSG00000000093	4.8205548982127	0	0	1.91435949139233	3.0925585845877	1.03517020836632
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	875.412769515426	1022.9458059113	1068.75731661426	841.360996466929	825.713142084917	889.211208986671
ENSMUSG00000000131	2190.46014574785	2026.94817097239	2123.54394935122	1967.00437740562	2150.35906914998	2271.16343715571
ENSMUSG00000000134	633.420913625149	692.9311258366	691.548851926877	737.028404186047	695.825681532233	656.297912104248
ENSMUSG00000000142	0	0	0	0	0	0
ENSMUSG00000000148	303.6949585874	262.217102295001	315.338293230726	285.239564217457	276.268566889835	242.229828757719
ENSMUSG00000000149	707.657459057624	709.880520281524	656.6221422336	677.683259952885	724.689561655052	719.443294814594
ENSMUSG00000000154	327.797733078464	329.017656872055	307.355045300834	282.368024980369	309.25585845877	320.90276459356
ENSMUSG00000000157	0	0	0	0	0	1.03517020836632
ENSMUSG00000000159	8.67699881678286	2.99106960792777	0.997905991236475	7.65743796556932	4.12341144611694	5.17585104183161
ENSMUSG00000000167	14.4616646946381	14.9553480396389	12.9727778860742	13.4005164397463	16.4936457844678	8.28136166693058
ENSMUSG00000000168	1466.4128000363	1520.46038402995	1508.83385874955	1497.0291222688	1437.00888897175	1399.55012171127
ENSMUSG00000000171	2290.72768763067	2035.92137979617	2281.21309596658	2103.88108104017	2192.62403647268	2007.1950340223
ENSMUSG00000000182	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	15130.75771451	15720.0648360657	14633.2934554917	13154.5212451024	13271.1997393274	12392.0225643532
ENSMUSG00000000194	869.628103637571	821.547118977494	908.094452025192	814.559963587437	951.477191191484	845.734060235285
