	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	ENSMUSG00000003429	7799.77699868634	0.511992479987674	0.15354316270177	3.33451826169641	0.000854472895649149	0.0359563066323512
2	ENSMUSG00000019437	4268.25658585348	0.601935864295756	0.1781987529088	3.37789044238609	0.000730441758412277	0.0321364064914746
3	ENSMUSG00000021140	134783.997210362	0.74369986089252	0.180239014587385	4.12618690018388	3.68827560499869e-05	0.00531506670928037
4	ENSMUSG00000022602	185226.557290714	4.54953258236148	0.370239727327075	12.2880724205546	1.04979446694524e-34	5.56548536651017e-31
5	ENSMUSG00000026098	1627.25902983229	0.658668285356961	0.199683142745935	3.29856730167259	0.000971795812856728	0.0393280572661064
6	ENSMUSG00000028218	4112.32915479415	0.546868092304306	0.165619292384301	3.30195887466636	0.000960121461246354	0.0390994673484013
7	ENSMUSG00000030753	9939.2254459418	0.433270456567811	0.129992331351216	3.33304628099324	0.000859006519714294	0.0359563066323512
8	ENSMUSG00000030876	5723.20835638035	0.494505528900215	0.14782702956082	3.34516312997254	0.000822341877652617	0.0350172326455852
9	ENSMUSG00000031617	8837.63381347867	0.746457323150572	0.18769446144069	3.97698108628765	6.97957140600637e-05	0.00787280804445591
10	ENSMUSG00000031762	3729.91209631358	0.608436675251913	0.163737813794184	3.71592035555519	0.000202465356028004	0.0145050011484116
11	ENSMUSG00000031767	394.794102604554	1.09050498834229	0.320430288876062	3.40325189658984	0.00066588858764163	NA
12	ENSMUSG00000035365	261.993902266751	1.44600231085937	0.428488003836684	3.37466229605463	0.000739063227193087	NA
13	ENSMUSG00000041245	14790.7266741422	0.556025300019284	0.139103478884233	3.99720628469708	6.40944434883485e-05	0.00738688461203217
14	ENSMUSG00000044067	8035.39229366838	0.530074099115561	0.146390757311541	3.6209533228077	0.000293519471921276	0.0180941102371005
15	ENSMUSG00000044229	2338.90233569258	0.5638149010396	0.165463937932097	3.4074790439895	0.000655659430204513	0.0303249690168293
16	ENSMUSG00000058546	3347.8165337858	0.768157137705035	0.182050576293509	4.21947105768334	2.4487615507375e-05	0.00412130455912218
17	ENSMUSG00000060143	84.4211102397158	2.43148870279267	0.658329660409435	3.69342116726208	0.000221257122160295	NA
18	ENSMUSG00000060657	77452.3130651756	0.434282332433502	0.127483158639197	3.40658591353709	0.000657808438542936	0.0303249690168293
19	ENSMUSG00000073702	2699.20800532138	0.629542158070689	0.175808756027842	3.5808350635903	0.000342497818529994	0.0199438310411208
20	ENSMUSG00000076498	447.157401565207	1.4326440938133	0.345338118523497	4.14852579824844	3.34623142851688e-05	NA
21	ENSMUSG00000087881	2198.47004169376	1.22142886954688	0.23318795429938	5.23795868108496	1.62362399307964e-07	7.71329062404829e-05
22	ENSMUSG00000088789	484.860837340635	1.61820705345692	0.335012935877776	4.83028229706119	1.36339611485876e-06	NA
23	ENSMUSG00000088835	619.781779481332	1.51000173663118	0.370820851213504	4.07205185924613	4.66008002289192e-05	NA
24	ENSMUSG00000089417	2102.2112611455	1.09696770457148	0.243880471270011	4.49797271121794	6.86045003592191e-06	0.00158133373328
25	ENSMUSG00000093674	10691.2970096813	0.807691607448587	0.200096971482029	4.03650090986572	5.42543153969143e-05	0.00661216673739635
26	ENSMUSG00000103186	79.5472243566371	2.45314355148097	0.739690383249588	3.31644645791376	0.000911700550555312	NA
27	ENSMUSG00000110279	2322.97768253165	0.645591376205216	0.179633661293986	3.59393318353985	0.000325723399486098	0.0191869178041727
28	ENSMUSG00000110588	2845.56648792558	0.633220762191769	0.167687362592389	3.7761984707875	0.000159240122726671	0.012146928210582
