Gene_ID	diff	pvalue	padj	Significant	-log10(pvalue)
ENSG00000187796	-0.033333333333333326	0.8843374130812132	1.0	No	0.05338200118523589
ENSG00000101546	0.003333333333333334	0.6433299631818632	1.0	No	0.19156622080311203
ENSG00000125971	-0.0033333333333333335	1.0	1.0	No	-0.0
ENSG00000114805	-0.06666666666666665	0.6153890017419474	1.0	No	0.21085026974839993
ENSG00000184254	-0.19666666666666666	0.03830110386037684	0.9412731442474782	No	1.4167887092281897
ENSG00000124831	0.013333333333333329	1.0	1.0	No	-0.0
ENSG00000121621	-0.07333333333333336	0.3399058825517462	1.0	No	0.46864131927202746
ENSG00000169239	0.11666666666666675	0.26069189082892624	1.0	No	0.5838724779341806
ENSG00000137947	0.003333333333333341	1.0	1.0	No	-0.0
ENSG00000117862	-0.009999999999999898	0.6130111132661831	1.0	No	0.2125316520942606
ENSG00000215472	-0.003333333333333341	1.0	1.0	No	-0.0
ENSG00000067182	0.00666666666666671	0.9294979658927112	1.0	No	0.031751556298255566
ENSG00000166734	0.006666666666666821	0.8820281938486785	1.0	No	0.05451753251307005
ENSG00000197142	-0.11333333333333329	0.008296418055962913	0.6453542741983539	No	2.081109371997106
ENSG00000170786	-0.10999999999999999	0.17765096519824794	1.0	No	0.7504324285960757
ENSG00000081803	0.01999999999999999	1.0	1.0	No	-0.0
ENSG00000091986	0.0	1.0	1.0	No	-0.0
ENSG00000111341	-0.09666666666666665	1.0	1.0	No	-0.0
ENSG00000120798	-0.01999999999999999	1.0	1.0	No	-0.0
ENSG00000172572	0.2633333333333333	1.0	1.0	No	-0.0
ENSG00000112893	0.036666666666666736	0.2589058393189447	1.0	No	0.5868581544496492
ENSG00000116678	0.043333333333333335	1.0	1.0	No	-0.0
ENSG00000151743	-0.18333333333333346	0.30410472619604995	1.0	No	0.5169768302836382
ENSG00000165376	-0.06999999999999995	1.0	1.0	No	-0.0
ENSG00000138641	-0.009999999999999898	0.7663951863289178	1.0	No	0.11554723169223902
ENSG00000121797	-0.0033333333333334103	1.0	1.0	No	-0.0
ENSG00000119414	0.009999999999999981	1.0	1.0	No	-0.0
ENSG00000139624	0.003333333333333341	0.7676439152389027	1.0	No	0.11484018818307659
ENSG00000169919	0.013333333333333308	0.7539856468127211	1.0	No	0.12263692146360056
ENSG00000196458	0.23333333333333328	0.0016142477809632568	0.35505167907591595	No	2.79202980192759
ENSG00000163666	0.3333333333333333	1.0	1.0	No	-0.0
ENSG00000167565	0.1200000000000001	0.07650621767710153	1.0	No	1.1163032682042207
ENSG00000136868	-0.01000000000000012	1.0	1.0	No	-0.0
ENSG00000123892	-0.013333333333333197	1.0	1.0	No	-0.0
ENSG00000198863	0.033333333333333326	0.48825088460460836	1.0	No	0.3113569611920751
ENSG00000147789	-0.006666666666666599	0.9042988982224589	1.0	No	0.04368799829316119
ENSG00000214595	0.15333333333333332	0.45021150331620585	1.0	No	0.34658341257199976
ENSG00000165626	-0.033333333333333326	1.0	1.0	No	-0.0
ENSG00000126012	0.006666666666666654	0.6778688286992499	1.0	No	0.16885433634452018
ENSG00000104450	-5.551115123125783e-17	0.9999999999999993	1.0	No	2.892982399659862e-16
ENSG00000100867	0.10666666666666669	0.6597140763287821	1.0	No	0.1806442492730479
ENSG00000129083	-0.030000000000000027	0.5572253321118339	1.0	No	0.2539691482669041
ENSG00000004897	0.0033333333333334103	1.0	1.0	No	-0.0
ENSG00000137135	0.03333333333333338	1.0	1.0	No	-0.0
ENSG00000144677	-0.020000000000000018	0.5879143098673618	1.0	No	0.230685968930159
ENSG00000170035	0.036666666666666625	1.0	1.0	No	-0.0
ENSG00000019485	0.053333333333333344	0.8238522589168912	1.0	No	0.08415066316935879
ENSG00000107521	0.056666666666666615	1.0	1.0	No	-0.0
ENSG00000136514	0.5766666666666667	0.0255736770797916	0.8314294098992017	Yes	1.5922068229845834
ENSG00000196391	-0.06666666666666665	0.7575139457550608	1.0	No	0.12060936743461027
ENSG00000139505	-0.003333333333333341	0.8415958224260155	1.0	No	0.074896428967228
ENSG00000225190	-0.09999999999999998	0.02680927581477259	0.840148963046905	No	1.5717149172329334
ENSG00000126752	-0.18666666666666687	0.27582588935445246	1.0	No	0.559364972837134
ENSG00000163539	-0.013333333333333364	1.0	1.0	No	-0.0
ENSG00000143194	0.5266666666666666	0.008865754822688933	0.6680900368572529	Yes	2.0522842830328023
ENSG00000140829	0.06999999999999995	0.1774203711227979	1.0	No	0.7509965166446595
ENSG00000081665	-0.06333333333333335	0.1683776025856712	1.0	No	0.7737156783967365
ENSG00000137310	-0.030000000000000027	0.30988168971774827	1.0	No	0.5088040845850952
ENSG00000204599	0.0	1.0	1.0	No	-0.0
ENSG00000161914	0.02666666666666656	0.8350883964474767	1.0	No	0.07826755079491528
ENSG00000178449	0.06666666666666676	0.33527826773472535	1.0	No	0.4745945960157577
ENSG00000169359	0.033333333333333326	0.6784609838955342	1.0	No	0.16847512216205796
ENSG00000095485	0.030000000000000027	0.6239579068589728	1.0	No	0.20484470748982925
ENSG00000148468	0.020000000000000018	0.7605158672210115	1.0	No	0.11889172050034325
ENSG00000163870	-0.03333333333333344	1.0	1.0	No	-0.0
ENSG00000111231	-0.010000000000000009	0.7625246698939233	1.0	No	0.1177461010625095
ENSG00000151445	0.09000000000000008	1.0	1.0	No	-0.0
ENSG00000081014	0.039999999999999925	1.0	1.0	No	-0.0
ENSG00000204264	-0.039999999999999925	1.0	1.0	No	-0.0
ENSG00000151835	0.0	1.0	1.0	No	-0.0
ENSG00000006025	-0.046666666666666745	1.0	1.0	No	-0.0
ENSG00000139722	0.03333333333333344	0.5521838575975746	1.0	No	0.2579162935655883
ENSG00000003400	0.09000000000000002	0.8270971005020857	1.0	No	0.08244350164845053
ENSG00000079385	0.5333333333333334	1.0	1.0	Yes	-0.0
ENSG00000099958	-0.11999999999999988	1.0	1.0	No	-0.0
ENSG00000112183	0.0	1.0	1.0	No	-0.0
ENSG00000137055	-0.009999999999999995	1.0	1.0	No	-0.0
ENSG00000170962	-0.06999999999999995	0.27187260920223877	1.0	No	0.5656345447903556
ENSG00000188529	0.013333333333333308	1.0	1.0	No	-0.0
ENSG00000239713	0.030000000000000027	1.0	1.0	No	-0.0
ENSG00000107290	0.0733333333333333	0.09265267017963469	1.0	No	1.0331420601273735
ENSG00000172590	0.016666666666666663	1.0	1.0	No	-0.0
ENSG00000011258	0.016666666666666607	0.8062092103241993	1.0	No	0.09355224467201775
ENSG00000162772	-0.15666666666666662	0.22412516562219062	1.0	No	0.6495093764982409
ENSG00000183092	-0.4	1.0	1.0	No	-0.0
ENSG00000121057	0.1200000000000001	0.15569557167215997	1.0	No	0.8077237395558022
ENSG00000074935	-0.0566666666666667	1.0	1.0	No	-0.0
ENSG00000152939	-0.10999999999999999	1.0	1.0	No	-0.0
