ensembl_id	gene_name	AveExpr	logFC_120h	P.Value_120h	adj.P.Val_120h	logFC_6h	P.Value_6h	adj.P.Val_6h
ENSG00000280071	CH507-9B2.3	4.30428262476745e-17	0.0128942238963777	0.925551646593724	0.993832552013729	0.0892799734926366	0.521728948228833	0.997738342023312
ENSG00000278311	GGNBP2	2.74483850000914e-16	0.0880860359462022	0.730776746081555	0.94672037782704	-0.142316023262258	0.579998573393431	0.997738342023312
ENSG00000278259	MYO19	-5.00901403688303e-17	0.0396841002901827	0.7970576538081	0.959704142352932	0.143891355125385	0.360210029871686	0.997738342023312
ENSG00000278053	DDX52	-6.93889390390723e-18	-0.258803362600866	0.199318780871003	0.710759458999104	0.263774801608379	0.191475471123385	0.997738342023312
ENSG00000277149	TYW1B	2.11058022910512e-17	0.0577810773456945	0.718112810022113	0.945150533065251	-0.0569525950254511	0.721961688609409	0.997738342023312
ENSG00000276644	DACH1	-2.79001359052936e-17	0.298648825437462	0.0898565390820757	0.587060301796988	-0.247952450109356	0.150602507312227	0.997738342023312
ENSG00000276293	PIP4K2B	-6.47630097698008e-17	0.0565058875383304	0.687372887711471	0.939273722729132	-0.180195986275506	0.214808653692032	0.997738342023312
ENSG00000276234	TADA2A	1.38777878078145e-17	-0.363719512218504	0.372319840829971	0.808842193880796	0.0422940517905927	0.915777807557582	0.997738342023312
ENSG00000276043	UHRF1	-6.93889390390723e-18	-0.231858021268667	0.33686895794124	0.802582822474635	-0.0983450131392778	0.678196363509138	0.997738342023312
ENSG00000275895	U2AF1L5	-6.3028286293824e-17	-0.385294806255403	0.0753367319439102	0.56297101590872	-0.225036937328976	0.275024132129307	0.997738342023312
ENSG00000275700	AATF	2.54426109809932e-17	-0.000165407016677999	0.999516830212496	0.999937809151207	0.0556398252212394	0.838748245559744	0.997738342023312
ENSG00000275066	SYNRG	1.8901257873664e-17	-0.3381023678591	0.0546073979987353	0.502126006753898	0.0411002139292381	0.798037487273753	0.997738342023312
ENSG00000275052	PPP4R3B	3.97540796578018e-18	-0.166728434419031	0.14372058245585	0.649307892641365	0.12072617248092	0.278180062911633	0.997738342023312
ENSG00000275023	MLLT6	1.07516715438146e-17	0.0860117228309382	0.446187267519742	0.846290731458708	-0.0411504306392827	0.712538007472191	0.997738342023312
ENSG00000272886	DCP1A	7.18103238909566e-17	-0.26266670371828	0.119683570183014	0.630414726551492	0.0716697738207758	0.653666472501127	0.997738342023312
ENSG00000272869	CTC-487M23.8	-9.69276742202041e-17	0.413422713231039	0.0351976870871319	0.430843894659678	0.153943739278888	0.389144483357468	0.997738342023312
ENSG00000272391	POM121C	1.15792792021452e-16	-0.030582861746256	0.883911420663441	0.987474377913478	0.0611104201091011	0.770814434274397	0.997738342023312
ENSG00000270872	SRGAP2D	6.78710559975926e-17	0.0720042898665502	0.673206551636864	0.935264516615507	0.123071427719335	0.474604256179531	0.997738342023312
ENSG00000270800	RPS10-NUDT3	-6.9533499328737e-17	-0.0308715812495387	0.92150124923697	0.992753437595365	0.377367946816946	0.243915478193597	0.997738342023312
