s23.METTL3.input	s24.METTL3.input	s23.METTL3.m6A	s24.METTL3.m6A
ENSG00000000457.13_peak	146.591656955365	145.16572436528	100.222645412584	114.929273078305
ENSG00000000460.16_peak	146.591656955365	145.16572436528	100.222645412584	114.929273078305
ENSG00000001167.14_peak	60.9212080853463	74.1271783992921	8.15765718474522	33.6187669548785
ENSG00000001167.14_peak_2	131.361354934028	166.786151398407	243.564335944536	277.159369430335
ENSG00000001167.14_peak_3	161.821958976701	247.090594664307	307.660213824677	312.732715859335
ENSG00000001460.17_peak	3.80757550533415	27.7976918997345	54.772841097575	63.7192908563394
ENSG00000001461.16_peak	39.9795428060085	52.5067513661652	10.0999565144465	60.2010478029219
ENSG00000001629.9_peak	296.990889416063	290.331448730561	191.899173774483	335.405837759136
ENSG00000003400.14_peak	38.0757550533415	18.531794599823	0	6.25465431718669
ENSG00000003402.19_peak	64.7287835906805	111.190767598938	56.326680561336	28.5368603221643
ENSG00000003402.19_peak_2	26.653028537339	40.1522216329499	24.4729715542357	28.1459444273401
ENSG00000003402.19_peak_3	28.5568162900061	40.1522216329499	50.1113227062921	37.5279259031202
ENSG00000003402.19_peak_4	87.5742366226853	95.7476054324189	57.1036002932165	275.204789956215
ENSG00000003402.19_peak_5	9.51893876333536	24.7090594664307	32.6306287389809	4.69099073789002
ENSG00000003402.19_peak_6	51.402269322011	49.4181189328614	50.4997825722323	69.9739451735261
ENSG00000003402.19_peak_7	211.320440546045	382.990421729676	70.6996956011252	97.3380578112179
ENSG00000003509.15_peak	51.402269322011	43.2408540662537	61.3766588185593	78.1831789648337
ENSG00000004455.16_peak	3.80757550533415	0	22.5306722245344	27.3641126376918
ENSG00000004468.12_peak	178.956048750705	145.16572436528	29.9114096773991	27.755028532516
ENSG00000004534.14_peak	694.882529723481	633.169648827286	797.50810477533	1109.02839361617
ENSG00000005007.12_peak	53.306057074678	163.697518965103	123.141777503059	23.8458695842743
ENSG00000005007.12_peak_2	66.6325713433475	61.7726486660767	59.0458996229178	33.6187669548785
ENSG00000005007.12_peak_3	447.390121876762	413.876746062714	776.142812148616	681.75732057335
ENSG00000005100.12_peak	20.9416652793378	9.26589729991151	39.6229063259053	74.274020016592
ENSG00000005156.11_peak	196.090138524708	169.874783831711	310.379432886259	376.06109082085
ENSG00000005206.16_peak	64.7287835906805	111.190767598938	39.2344464599651	61.7647113822186
ENSG00000005206.16_peak_2	268.434073126057	395.344951462891	311.156352618139	370.197352398487
ENSG00000005206.16_peak_3	45.6909060640097	117.368032465546	57.880520025097	158.320937403788
ENSG00000005206.16_peak_4	127.553779428694	123.545297332153	29.1344899455186	213.049162679172
