	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000000457.13_peak	126.727324952884	-0.439570221014199	0.614929595522029	-0.714830159769814	0.474713996531882	0.6868777171714	SCYL3
ENSG00000000460.16_peak	126.727324952884	-0.439570221014199	0.614929595522029	-0.714830159769814	0.474713996531882	0.6868777171714	C1orf112
ENSG00000001167.14_peak	44.2062026560655	-1.69070735376409	1.10212992656638	-1.53403633547216	0.125020714018667	0.289490664328937	NFYA
ENSG00000001167.14_peak_2	204.717802926827	0.809674208946442	0.508778076033594	1.59140939259533	0.111517471889791	0.268420807828723	NFYA
ENSG00000001167.14_peak_3	257.326370831255	0.609186069074058	0.472297635531543	1.28983510236814	0.197107917387896	0.395019263786883	NFYA
ENSG00000001460.17_peak	37.5243498397458	1.95853629338589	1.25270275896409	1.56344853507425	0.117947131790213	0.278500795006382	STPG1
ENSG00000001461.16_peak	40.6968246223855	-0.392155351171714	1.18836417219689	-0.329995939247099	0.741403030431135	0.877767384641573	NIPAL3
ENSG00000001629.9_peak	278.656837420061	-0.155826215279181	0.474819409659728	-0.328179960863124	0.742775598464905	0.877795647591925	ANKIB1
ENSG00000003400.14_peak	15.7155509925878	-3.18362961051284	2.01370893072259	-1.58097804600312	0.113883057558657	0.272160579875273	CASP10
ENSG00000003402.19_peak	65.1957730182797	-1.0449422215272	0.88354673115424	-1.18266774657421	0.236940851638316	0.445132723736891	CFLAR
ENSG00000003402.19_peak_2	29.8560415379662	-0.337325171144462	1.21361726126547	-0.277950208777292	0.781050580791866	0.898727679471479	CFLAR
ENSG00000003402.19_peak_3	39.087071633092	0.358225034777513	1.080171702006	0.331637122239222	0.740163284979803	0.877266887566862	CFLAR
ENSG00000003402.19_peak_4	128.907558076134	0.859465477017161	0.786400334045865	1.09291087478993	0.274432933099938	0.491777261273024	CFLAR
ENSG00000003402.19_peak_5	17.8874044266592	0.140715604720495	1.68271719503441	0.0836240368469153	0.933355355230354	0.975420431464169	CFLAR
ENSG00000003402.19_peak_6	55.3235290001577	0.256134296100423	0.91487911711724	0.279965179342486	0.779504219865271	0.897976198298403	CFLAR
ENSG00000003402.19_peak_7	190.587153922016	-1.81692466083659	0.557323140373487	-3.26009190937055	0.00111376116001655	0.0077783982529565	CFLAR
ENSG00000003509.15_peak	58.5507402929144	0.556497094922889	0.893306904215632	0.622962939496725	0.533308876117325	0.735783045773717	NDUFAF7
ENSG00000004455.16_peak	13.4255900918901	3.57334678762346	2.14067574589436	1.66926111741905	0.0950656424375134	0.239059412884571	AK2
ENSG00000004468.12_peak	95.447052831475	-2.49301221305006	0.704201748316553	-3.54019600066287	0.000399829971740921	0.00330947928348967	CD38
ENSG00000004534.14_peak	808.647169235566	0.520415538346263	0.313630156141515	1.65932876082058	0.0970495628059186	0.242598209225194	RBM6
ENSG00000005007.12_peak	90.9978057817786	-0.552504290947005	0.932837518456393	-0.592283522066369	0.553660748193672	0.754135610993514	UPF1
ENSG00000005007.12_peak_2	55.2674716468051	-0.471765493122522	0.924052228829728	-0.51053985738446	0.609673298560377	0.793985621911138	UPF1
ENSG00000005007.12_peak_3	579.791750165361	0.757967393236562	0.330885092706707	2.29072693192744	0.0219792119571348	0.0806852604200445	UPF1
ENSG00000005100.12_peak	36.0261222304367	1.88714024891441	1.1998689358284	1.57278865429707	0.115767763621225	0.275415244098881	DHX33
ENSG00000005156.11_peak	263.101361515882	0.904303376027085	0.45748786720398	1.97667182203956	0.0480787378983517	0.145917980247055	LIG3
ENSG00000005206.16_peak	69.2296772579506	-0.793278088659579	0.844971184914577	-0.938822651969813	0.347821806784345	0.56791463351846	SPPL2B
ENSG00000005206.16_peak_2	336.283182401394	0.0431825946001999	0.425613490797677	0.101459647153731	0.919185589114603	0.967531964220447	SPPL2B
ENSG00000005206.16_peak_3	94.8150989896102	0.420447714278062	0.832225062915231	0.505209147156974	0.613411946355503	0.796183228506131	SPPL2B
ENSG00000005206.16_peak_4	123.320682346384	-0.0524899997067045	0.851297124079775	-0.0616588476831101	0.950834512371165	0.982761008711783	SPPL2B
ENSG00000005339.14_peak	2386.14793109334	0.714267523722444	0.233757817609699	3.05558774900544	0.00224619864325462	0.0136024173491476	CREBBP
ENSG00000005339.14_peak_2	455.44071872773	-0.671075971360905	0.369507386162932	-1.81613682565197	0.0693493859551406	0.191409925401665	CREBBP
ENSG00000005339.14_peak_3	423.117716287225	-1.31376702014211	0.364058228288417	-3.60867278379795	0.00030776750489885	0.00265471970599885	CREBBP
ENSG00000005379.15_peak	166.968318710725	1.5706856465209	0.593309938980809	2.64732738038912	0.00811307681729554	0.0372156437160443	BZRAP1
