	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000000457.13_peak	196.009882800544	0.0603389791546586	0.508197876648614	0.118731269702607	0.905488262130179	0.944963847821362	SCYL3
ENSG00000000460.16_peak	198.596376285136	0.0217600639640333	0.501083149316495	0.0434260541263765	0.965361909097983	0.980044219502515	C1orf112
ENSG00000001167.14_peak	103.932949318475	0.842738486759187	0.782086835967484	1.0775510442094	0.281234159673458	0.441403467432319	NFYA
ENSG00000001167.14_peak_2	271.196117725099	0.713439650579836	0.479385466320556	1.48823796444169	0.136688148509225	0.266317464763131	NFYA
ENSG00000001167.14_peak_3	265.148154312751	0.839729334836769	0.442536964510671	1.89753490031118	0.0577573771210658	0.139753123727584	NFYA
ENSG00000001460.17_peak	24.8237567035764	1.24206963221125	1.317185704808	0.94297229895332	0.345695072077915	0.511251638339345	STPG1
ENSG00000001461.16_peak	35.5735046991973	-4.88909413776407	1.05811002304657	-4.62059146145041	3.82647608809232e-06	4.07414064471425e-05	NIPAL3
ENSG00000001629.9_peak	308.163712681595	-0.726287375374029	0.375344796679718	-1.93498719523684	0.0529918670182131	0.131194558074335	ANKIB1
ENSG00000003400.14_peak	23.9211700035595	-1.43325293802982	1.32692519527528	-1.08013092458651	0.280083882664877	0.440394634985182	CASP10
ENSG00000003402.19_peak	66.720005938502	-2.15591853836424	1.14736090632151	-1.87902387686905	0.0602412330633536	0.144704027655986	CFLAR
ENSG00000003402.19_peak_2	47.7663024130147	-1.6489625453645	0.889032985811517	-1.85478218657918	0.0636273368163177	0.150391887020387	CFLAR
ENSG00000003402.19_peak_3	31.5605463299768	-2.09264959835783	1.06661665707406	-1.96195098255673	0.0497681913530523	0.125550781236069	CFLAR
ENSG00000003402.19_peak_4	93.8826344615181	-0.14276322951922	0.629374260782619	-0.226833600315487	0.820553135346653	0.895195407125039	CFLAR
ENSG00000003402.19_peak_5	15.1886297291456	-0.0844645693684062	1.67630467986154	-0.0503873611898421	0.959813707902957	NA	CFLAR
ENSG00000003402.19_peak_6	64.0253171614107	-0.626280185032874	0.751112724077127	-0.833803189531064	0.404391897710038	0.571400072034009	CFLAR
ENSG00000003402.19_peak_7	210.054900066708	-1.46512725172222	0.516193175648654	-2.83833130858642	0.00453500836332783	0.0180723467613213	CFLAR
ENSG00000003509.15_peak	49.9629445281714	0.439855992893247	0.859406252693829	0.511813815078152	0.608781320669224	0.744304319846029	NDUFAF7
ENSG00000004455.16_peak	15.9486344201676	0.640238521202334	1.49079615593921	0.429460807670904	0.66758790981104	NA	AK2
ENSG00000004468.12_peak	118.948054376897	-5.3873022121765	0.698862556249124	-7.70867198994144	1.27133702940101e-14	8.0969006037631e-13	CD38
ENSG00000004534.14_peak	1045.94506143616	0.685005974624735	0.268259817930049	2.55351688490057	0.0106641107925429	0.0364322131505083	RBM6
ENSG00000005007.12_peak	164.49828332363	-0.276146304686587	0.60473540215491	-0.456639885316073	0.647929905913411	0.773153705458783	UPF1
ENSG00000005007.12_peak_2	78.9534256327934	-1.11335755593578	0.861609069581083	-1.29218411834627	0.196293390303435	0.344979421642139	UPF1
ENSG00000005007.12_peak_3	664.648264005698	0.049877684701415	0.3093324852432	0.16124295727363	0.871902048733683	0.925130908495674	UPF1
ENSG00000005100.12_peak	27.9845076935468	0.669046703237984	1.12799036024507	0.593131578795254	0.55309309818972	0.70100178645687	DHX33
ENSG00000005156.11_peak	409.536108886478	1.65999823930478	0.362915081889012	4.57406793529856	4.78344624228847e-06	4.93412835274391e-05	LIG3
ENSG00000005206.16_peak	81.0953957965859	0.463054873722009	0.726739638980324	0.637167492847526	0.524015749428909	0.677793428830908	SPPL2B
