ensembl_id	gene_name	logFC	AveExpr	P.Value	adj.P.Val
ENSG00000278311	GGNBP2	0.0263051617462523	-0.0405375138235223	0.789851534842073	0.902853893071691
ENSG00000278259	MYO19	-0.190428546725983	0.0203977141741636	0.117208323597642	0.344948547296858
ENSG00000277149	TYW1B	-0.153567256404335	-0.0443837523499782	0.159954056938439	0.402917857401809
ENSG00000276043	UHRF1	-0.180708466972702	0.106490619880465	0.173589054867462	0.41789525599838
ENSG00000275895	U2AF1L5	0.101291770701645	-0.0913319377787997	0.461441915913256	0.692162873869885
ENSG00000275700	AATF	0.197415791797005	-0.120488734777516	0.192435877203399	0.442983578710795
ENSG00000275066	SYNRG	-0.0298597318851922	0.112881720652626	0.755850750958304	0.885316370769802
ENSG00000275052	PPP4R3B	-0.0312703528278098	-0.0550868478133963	0.797537609685073	0.906249373133255
ENSG00000273749	CYFIP1	-0.00866430319397963	-0.0210172119072021	0.927764673934907	0.968156582988626
ENSG00000272886	DCP1A	-0.193186641796339	0.298422818477425	0.0924370653116256	0.308562570354209
ENSG00000272391	POM121C	0.178709444565812	0.0948742302982283	0.0841435774911375	0.293744470971313
ENSG00000270872	SRGAP2D	0.335653839933707	-0.178069571500164	0.0178475128694115	0.138318224737939
ENSG00000270800	RPS10-NUDT3	0.00839322988329801	-0.207658239510063	0.951602301403976	0.977668947778167
ENSG00000270647	TAF15	0.229038219466383	0.0632680564870948	0.103890762905765	0.322491353479176
ENSG00000269343	ZNF587B	-0.170473864209405	0.0848912382979781	0.137233100690294	0.369384103056337
ENSG00000266028	SRGAP2	0.267358004671342	-0.144040163423538	0.0157044396587441	0.136153189773597
ENSG00000265491	RNF115	-0.0206431680861061	-0.0411000625189152	0.837885825393036	0.925016402677498
ENSG00000265354	TIMM23	0.0516512185124704	-0.0977716175340622	0.702667937570657	0.850199921621
ENSG00000264343	NOTCH2NL	0.149290222060629	-0.0682097150334687	0.160307711405165	0.402946326394603
ENSG00000263956	NBPF11	0.116555658824986	0.0820582815966383	0.282358018566414	0.53844480805032
ENSG00000263528	IKBKE	0.0242383324362667	0.159175475005953	0.879020849049951	0.945609794341302
ENSG00000263513	FAM72C	0.107480076598746	0.0737753072376337	0.270989113190889	0.528474213436628
ENSG00000263001	GTF2I	0.0227179722556943	-0.111246913042754	0.827162829331403	0.91972911439288
ENSG00000261794	GOLGA8H	0.0459254678636063	-0.136387970648989	0.67022828626706	0.834197411975864
ENSG00000261371	PECAM1	-0.0463188895345791	-0.19395704783461	0.72706400314018	0.867774028388562
ENSG00000260916	CCPG1	0.280889968422259	0.104903339311006	0.0557924987167188	0.240217702808095
ENSG00000258890	CEP95	0.0450341286128061	-0.000234040911040072	0.715108916168072	0.858764208913564
ENSG00000257923	CUX1	-0.252706290803832	0.0343318697796935	0.0816627407286151	0.290060626006345
ENSG00000257103	LSM14A	0.120784878984028	-0.307396299454187	0.204857904903561	0.457122820301345
ENSG00000255152	MSH5-SAPCD1	-0.0458250728296474	0.0494555815188973	0.632216935642735	0.810418777029313
ENSG00000254772	EEF1G	-0.0274356446876591	-0.0295733538458333	0.79610066871947	0.90598827937972
ENSG00000254087	LYN	0.429876605982588	-0.352850873563299	0.00389120526960501	0.073633029046834
ENSG00000253729	PRKDC	-0.14245420790533	-0.0139902800453786	0.148189801245506	0.385392939480761
ENSG00000251201	TMED7-TICAM2	-0.328602354633416	0.148108509423059	0.029587561071057	0.180081359922009
ENSG00000249931	GOLGA8K	0.158235812554767	-0.142506811579763	0.392654868273046	0.641097309504797
ENSG00000249437	NAIP	0.0773335948930191	0.242320990366002	0.419760104358831	0.659672519653992
ENSG00000248643	RBM14-RBM4	-0.0266644302615629	0.166459546010581	0.795349296822534	0.905576452062875
ENSG00000244687	UBE2V1	-0.18613363331382	-0.0247840141424967	0.115808438976222	0.342999516713015
ENSG00000243943	ZNF512	0.0548347762142672	-0.192608711926652	0.601207497528735	0.784844150339308
ENSG00000243927	MRPS6	0.00748707216254898	-0.21864314652009	0.935473235832615	0.971404766999031
ENSG00000243753	HLA-L	0.648388628067691	0.764595771943707	0.00152367929213182	0.0531641402841493
ENSG00000243646	IL10RB	-0.0856765228536798	-0.0818876620786093	0.619731682665035	0.797827332334555
ENSG00000241973	PI4KA	0.039618372233628	0.0986921358788327	0.6894345327948	0.844881762182566
ENSG00000241878	PISD	0.123584553095343	-0.0630136149770511	0.261591112306347	0.518941413065065
ENSG00000241553	ARPC4	-0.268480573094949	0.240082459870573	0.0373382993935574	0.202830715163601
ENSG00000241343	RPL36A	-0.120752191086307	0.219422980835005	0.561297757061515	0.758658055016507
ENSG00000237649	KIFC1	-0.0162982892163408	0.199048127980046	0.914559327057005	0.962896947947241
ENSG00000237296	SMG1P1	-0.0717082062590406	0.248455651821222	0.443349153998604	0.679042676578889
ENSG00000231500	RPS18	-0.23284010741687	0.00260362942565214	0.164602853268898	0.408481816815801
ENSG00000230124	ACBD6	-0.0485516521740094	-0.211963602417937	0.688029890391297	0.844327997040431
ENSG00000228716	DHFR	-0.10750839408776	-0.327544068809217	0.318305424164692	0.575027281416402
ENSG00000227345	PARG	0.407029217189584	0.0869428214755302	0.00153241676974109	0.0531641402841493
