ensembl_id	gene_name	logFC	AveExpr	P.Value	adj.P.Val
ENSG00000278311	GGNBP2	-0.015937826150756	0.176864319509085	0.861582958113811	0.977638056424896
ENSG00000278259	MYO19	0.0692221253500591	0.0457054219418612	0.392273744594494	0.830634295247905
ENSG00000277149	TYW1B	-0.0897767467147689	-0.185035758288291	0.368828882372497	0.817471069128747
ENSG00000276043	UHRF1	0.0862263989624721	-0.123692123272771	0.496359381329326	0.880381290303556
ENSG00000275895	U2AF1L5	-0.0106604700770632	-0.200313394776539	0.948733396438651	0.989754018580187
ENSG00000275700	AATF	0.0842148560122148	-0.173006695863001	0.460451801661822	0.867494715685804
ENSG00000275066	SYNRG	-0.0265112726547413	-0.0602183147406185	0.768982611132329	0.958122000081322
ENSG00000275052	PPP4R3B	0.00672402083727189	0.134293406356673	0.934638058250257	0.989754018580187
ENSG00000273749	CYFIP1	0.0701373998590292	-0.20240610095538	0.499829010644216	0.882933892963737
ENSG00000272886	DCP1A	0.0839768654835406	-0.034649651200781	0.325812125685164	0.794038812891999
ENSG00000272391	POM121C	0.127924865951253	-0.258677487163984	0.203910772045174	0.698698281407562
ENSG00000270872	SRGAP2D	0.17148946325775	0.339844616259943	0.0941082818757882	0.59029870331465
ENSG00000270800	RPS10-NUDT3	-0.037149439781205	0.292599144258684	0.738376543887966	0.956417276137025
ENSG00000270647	TAF15	0.00289665570521196	-0.14505995105558	0.979704316465851	0.997290952619572
ENSG00000269343	ZNF587B	-0.131920109895349	-0.0630392353687658	0.254548910315502	0.73996807269058
ENSG00000266028	SRGAP2	0.0463943776926631	0.0278825077703361	0.55638646550831	0.895625751898974
ENSG00000265491	RNF115	-0.116948685196281	-0.080702560559781	0.235894235756189	0.723038407049664
ENSG00000265354	TIMM23	0.0281171871036445	-0.0872533723230772	0.817011073415466	0.968993120893688
ENSG00000264343	NOTCH2NL	0.096815492937952	-0.135795873729122	0.271446218537062	0.755496302097551
ENSG00000263956	NBPF11	-0.128091925586869	0.0091692165572198	0.109722212957389	0.593190274920753
ENSG00000263528	IKBKE	-0.0798696334325161	-0.255043956517403	0.40352313804523	0.834588232699841
ENSG00000263513	FAM72C	-0.0100026108266871	0.108001244843962	0.907582291320765	0.98374304303999
ENSG00000263001	GTF2I	-0.102895455466728	0.0347717511213491	0.186258352103	0.676365850532196
ENSG00000261794	GOLGA8H	0.155864767864338	0.388044041526389	0.0936065409231803	0.59029870331465
ENSG00000261371	PECAM1	-0.0798291171517208	0.32904059054806	0.352353499853145	0.807855916488852
ENSG00000260916	CCPG1	0.117717213677321	-0.256089707862849	0.312977414555349	0.783529594629698
ENSG00000258890	CEP95	-0.0925598724819684	-0.116863612589882	0.460733568109105	0.867494715685804
ENSG00000257923	CUX1	-0.42830970879835	-0.215464355417482	0.00237441090940634	0.346002681440864
ENSG00000257103	LSM14A	0.14656313970982	-0.0111707227162465	0.112634616145561	0.593190274920753
ENSG00000255152	MSH5-SAPCD1	-0.135766308002432	-0.0513248023912383	0.105289601333132	0.59029870331465
ENSG00000254772	EEF1G	-0.0848118432217123	-0.127589520647396	0.410898586828132	0.835817335411555
ENSG00000254087	LYN	0.361662198244472	-0.0751472411164531	0.00808161141290131	0.396661072101445
ENSG00000253729	PRKDC	-0.126664425871033	-0.0163585667442996	0.130189743487911	0.612735128763952
ENSG00000251201	TMED7-TICAM2	-0.142481147007935	0.116629507927146	0.0804441519991551	0.581391204289484
ENSG00000249931	GOLGA8K	0.215748571548594	0.45880367606807	0.0579016842558744	0.525469642261718
ENSG00000249437	NAIP	-0.128732464259741	0.0632176005409259	0.176013295713595	0.667158165776158
ENSG00000248643	RBM14-RBM4	-0.0588913820405711	-0.0292605254700015	0.503979491517741	0.883517628491613
ENSG00000244687	UBE2V1	-0.0844844071397398	-0.0291222225948017	0.38663234191607	0.826834003974223
ENSG00000243943	ZNF512	-0.0302043630182348	-0.0484344571642496	0.69445524680822	0.941565483491243
ENSG00000243927	MRPS6	0.160124970460296	0.151630924717177	0.0631508387270986	0.541561402532067
ENSG00000243753	HLA-L	0.131312941959089	0.285757062077254	0.281943270863264	0.761916285903448
ENSG00000243646	IL10RB	0.0189664061774471	0.365922238052303	0.839622020720342	0.971470182295177
ENSG00000241973	PI4KA	-0.0655398983242343	-0.285015608466259	0.529195319405373	0.88985804824315
ENSG00000241878	PISD	0.085604018854418	-0.238115805449731	0.503663342172149	0.883517628491613
ENSG00000241553	ARPC4	0.0078825736070397	0.0558354903320368	0.924636538616903	0.989754018580187
ENSG00000241343	RPL36A	-0.26232055862618	0.0257062140829564	0.114605842801002	0.593190274920753
ENSG00000237649	KIFC1	0.236656343478698	0.39966796841086	0.105850505255782	0.59029870331465
ENSG00000237296	SMG1P1	-0.121740289372456	-0.0935073471851192	0.236153959427822	0.723038407049664
ENSG00000231500	RPS18	-0.109342316725545	0.411151198445571	0.207062612110772	0.700757748409818
ENSG00000230124	ACBD6	-0.212360605524025	-0.273451909416039	0.233371586517339	0.723038407049664
ENSG00000228716	DHFR	-0.138603687015215	-0.0730515311318787	0.154244853089102	0.642136059787599
ENSG00000227345	PARG	0.144341647002058	-0.105554186726057	0.118880994043625	0.594404970218127
ENSG00000226259	GTF2H2B	-0.0998694683229168	-0.0665105290173631	0.40481180428249	0.834588232699841
ENSG00000225190	PLEKHM1	-0.0863010293054848	-0.0856991864087719	0.313177085660692	0.783529594629698
ENSG00000221983	UBA52	-0.0325295313424969	0.210061817392756	0.707089939667684	0.944651442381566
ENSG00000221914	PPP2R2A	0.0514884861168817	-0.0842644021578795	0.505241956981403	0.883675473044587
ENSG00000221823	PPP3R1	-0.0250070346213357	-0.192637995239793	0.787498213711383	0.962450343525961
ENSG00000217128	FNIP1	-0.00532816353313243	0.0156007506684936	0.948104583696398	0.989754018580187
ENSG00000215472	RPL17-C18orf32	-0.331254178547173	0.170627662341815	0.0884207363072381	0.59029870331465
ENSG00000215421	ZNF407	-0.259052377433406	-0.173948247194095	0.0144141974515037	0.475080934262254
ENSG00000215126	CBWD7	-0.0448476648062232	0.289744927377997	0.667788963511146	0.931938379449828
ENSG00000215114	UBXN2B	-0.123172400690116	0.243020086593727	0.164813388947765	0.652212895387246
ENSG00000214078	CPNE1	0.057272448076322	0.408074203155089	0.453101141190089	0.860749556359453
ENSG00000214013	GANC	0.0285951157795407	-0.257646033508657	0.69915481443312	0.942885698118912
ENSG00000213719	CLIC1	-0.175616492995864	0.114838467816536	0.0446978427768061	0.525469642261718
