GO	[-8.46 -0.77]	[-0.77 -0.42]	[-0.42 -0.24]	[-0.24 -0.13]	[-0.13 -0.01]	[-0.01 0.12]	[0.12 0.30]	[0.30 0.57]	[0.57 1.02]	[1.02 9.12]
GRATIAS_RETINOBLASTOMA_16Q24 GRATIAS_RETINOBLASTOMA_16Q24	1.551	8.000	-0.347	-0.824	-0.824	-0.824	-0.824	-0.824	-0.824	-0.825
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	3.767	0.260	-0.824	-0.824	-0.824	-0.824	-0.824	-0.824	0.260	2.194
DISTECHE_ESCAPED_FROM_X_INACTIVATION DISTECHE_ESCAPED_FROM_X_INACTIVATION	-0.595	-0.595	-0.595	-0.595	-0.595	-0.595	-0.595	1.467	5.099	-0.207
LY_AGING_MIDDLE_UP LY_AGING_MIDDLE_UP	5.099	-0.207	-0.207	-0.595	-0.595	-0.595	-0.595	-0.595	-0.595	0.873
MAHADEVAN_IMATINIB_RESISTANCE_DN MAHADEVAN_IMATINIB_RESISTANCE_DN	1.467	-0.207	-0.595	-0.595	-0.595	-0.595	-0.207	-0.595	-0.595	4.006
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	1.897	-0.687	0.735	-0.687	-0.687	-0.687	-0.687	0.346	-0.687	1.896
REACTOME_PROTEIN_METHYLATION REACTOME_PROTEIN_METHYLATION	-0.317	0.285	-0.778	1.656	2.334	0.623	-0.778	-0.778	-0.778	-0.779
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION	2.366	-0.549	-0.549	-0.549	-0.549	-0.549	-0.181	-0.549	-0.181	2.364
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	-0.595	-0.595	-0.595	2.192	-0.595	1.467	-0.595	-0.207	0.874	-0.596
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	3.053	-0.412	-0.412	-0.412	-0.412	0.213	-0.412	-0.412	-0.412	1.276
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_DN PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_DN	-0.458	-0.458	-0.458	0.186	-0.458	0.186	-0.458	-0.458	3.837	0.578
HOLLEMAN_DAUNORUBICIN_ALL_DN HOLLEMAN_DAUNORUBICIN_ALL_DN	-0.320	-0.320	-0.320	-0.320	0.825	3.756	-0.320	-0.320	-0.320	-0.321
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL	2.563	-0.503	-0.503	0.519	-0.503	0.163	-0.503	-0.503	-0.503	1.048
GESERICK_TERT_TARGETS_DN GESERICK_TERT_TARGETS_DN	-0.916	0.491	-0.407	-0.916	-0.916	0.491	-0.407	-0.407	1.366	1.950
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	-0.824	0.575	0.575	2.195	0.260	-0.347	0.575	-0.824	-0.824	-0.825
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	-0.732	-0.288	0.676	-0.732	2.485	-0.732	-0.288	0.676	0.314	-0.733
ZHU_SKIL_TARGETS_DN ZHU_SKIL_TARGETS_DN	-0.412	-0.412	-0.412	-0.412	1.276	-0.412	0.648	2.081	-0.412	-0.412
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	0.346	0.346	-0.687	-0.687	0.735	1.256	-0.687	-0.687	-0.687	1.255
REACTOME_RHO_GTPASES_ACTIVATE_KTN1 REACTOME_RHO_GTPASES_ACTIVATE_KTN1	-0.458	-0.458	-0.458	2.789	0.579	-0.458	-0.458	0.579	0.186	-0.458
BIOCARTA_RB_PATHWAY BIOCARTA_RB_PATHWAY	-0.549	-0.549	2.366	0.467	0.956	-0.181	-0.181	-0.549	-0.549	-0.550
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION	-0.412	-0.412	-0.412	0.213	-0.412	3.053	0.648	0.213	-0.412	-0.412
BIOCARTA_GHRELIN_PATHWAY BIOCARTA_GHRELIN_PATHWAY	-0.412	0.213	-0.412	-0.412	-0.412	-0.412	-0.412	0.648	0.213	3.051
LU_TUMOR_VASCULATURE_DN LU_TUMOR_VASCULATURE_DN	0.213	-0.412	-0.412	-0.412	-0.412	-0.412	0.213	-0.412	0.648	3.051
PID_RANBP2_PATHWAY PID_RANBP2_PATHWAY	-0.503	0.163	-0.503	0.163	0.163	2.563	1.048	-0.503	-0.503	-0.504
REACTOME_P2Y_RECEPTORS REACTOME_P2Y_RECEPTORS	0.729	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366	0.729	-0.366	2.299
REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION	2.898	-0.275	-0.275	-0.275	-0.275	-0.275	-0.275	0.942	-0.275	-0.275
BIOCARTA_IFNA_PATHWAY BIOCARTA_IFNA_PATHWAY	-0.320	2.566	0.825	-0.320	-0.320	-0.320	-0.320	0.283	-0.320	-0.321
