	diff
ENSG00000227232.5	0.0915413615248788
ENSG00000278267.1	-0.5346541088772
ENSG00000233750.3	0.4004588440446629
ENSG00000268903.1	0.344804829136675
ENSG00000269981.1	0.521675139088313
ENSG00000241860.6	0.129113323405182
ENSG00000279457.4	0.0024686967687029
ENSG00000228463.10	-0.4566990719719
ENSG00000237094.12	0.41211626902251
ENSG00000230021.9	-1.04644964531069
ENSG00000225972.1	0.9652407589272779
ENSG00000225630.1	-0.08601741355919501
ENSG00000237973.1	-0.07459926921670598
ENSG00000229344.1	-0.0652370412094455
ENSG00000240409.1	0.20883174557637196
ENSG00000248527.1	0.0216833299587255
ENSG00000198744.5	-0.306794262517271
ENSG00000229376.3	2.21023955297535
ENSG00000228327.3	0.21219094032136399
ENSG00000237491.8	1.14759324875175
ENSG00000230092.7	1.59050424437417
ENSG00000177757.2	-0.6405353530860679
ENSG00000228794.8	0.29162176040095195
ENSG00000225880.5	0.726084678396004
ENSG00000272438.1	1.25723909038982
ENSG00000230699.2	-1.15969787675352
ENSG00000223764.2	0.631663233300366
ENSG00000187634.11	-1.0108594315169699
ENSG00000188976.10	0.151500476536635
ENSG00000187961.13	0.101539644794154
ENSG00000187583.10	0.21083725389673003
ENSG00000187642.9	-0.12026706692367699
ENSG00000272512.1	0.479397880902756
ENSG00000188290.10	0.7128416069351741
ENSG00000187608.8	1.3377705367604298
ENSG00000231702.2	-0.269077582574882
ENSG00000224969.1	0.9514890685104279
ENSG00000188157.14	-0.556502924436411
ENSG00000217801.9	0.378841500298105
ENSG00000273443.1	-0.0436063112582975
ENSG00000237330.2	-0.4023793453275129
ENSG00000131591.17	0.32426022803074295
ENSG00000272141.1	-0.293886369679894
ENSG00000186891.13	-0.512562832162909
ENSG00000078808.16	0.190441036458929
ENSG00000176022.4	0.6313797979372601
ENSG00000184163.3	-0.35230837986001395
ENSG00000260179.1	0.541322490757144
ENSG00000160087.20	0.37632234281822297
ENSG00000230415.1	0.38250513139136405
ENSG00000162572.20	0.201990752267428
ENSG00000131584.18	0.278320858385549
ENSG00000169972.11	0.489133417673878
ENSG00000127054.20	0.45158865135077403
ENSG00000240731.1	0.42768824331765004
ENSG00000224051.6	0.428561285679704
ENSG00000169962.4	0.303273123382542
ENSG00000107404.19	0.656958593574141
ENSG00000162576.16	1.64225716707311
ENSG00000175756.13	0.691890458850698
ENSG00000223663.2	2.65702548213448
ENSG00000221978.11	0.4108837444061261
ENSG00000224870.6	0.684933485657316
ENSG00000242485.5	0.392730019027418
ENSG00000272455.1	0.371072741869646
ENSG00000235098.8	0.76895750773508
ENSG00000225905.1	0.898342864795255
ENSG00000205116.3	3.13511976636049
ENSG00000225285.1	-0.18024367195778102
ENSG00000179403.11	-0.0437008750888236
ENSG00000215915.9	0.24279302257255397
ENSG00000160072.19	0.160732445759698
ENSG00000284740.1	-0.111377553026126
ENSG00000197785.13	0.532531709550534
ENSG00000205090.8	-0.310809417797672
ENSG00000160075.11	0.33301469737437894
ENSG00000215014.4	0.822682583093267
ENSG00000228594.3	-0.102164597170072
ENSG00000272106.1	1.2237414598421101
ENSG00000197530.12	0.643755616844153
ENSG00000189409.13	0.6119782642369399
ENSG00000248333.8	0.206193511402376
ENSG00000272004.1	0.49556493874074603
ENSG00000189339.11	0.205505846404312
ENSG00000269737.2	0.47199479572551006
ENSG00000215914.4	-0.468173985399445
ENSG00000008128.22	0.162909006883629
ENSG00000268575.1	0.0484384430774409
ENSG00000227775.3	0.4388583297801021
ENSG00000215790.7	0.276055881596851
ENSG00000008130.15	0.566261832091631
ENSG00000078369.17	0.35090703361516307
ENSG00000231050.1	1.3387318666823702
ENSG00000169885.9	0.0349083968074608
ENSG00000178821.12	1.05357055173569
ENSG00000067606.16	-0.683964710303079
ENSG00000271806.1	-1.9315161987711298
ENSG00000182873.5	-0.558350530966334
ENSG00000162585.16	0.109787390423089
ENSG00000157933.9	0.43268882273800896
ENSG00000116151.13	-0.0872683586780907
ENSG00000269896.2	-0.7185489488672958
ENSG00000272420.1	0.5750491014421489
ENSG00000157916.19	0.153574731136847
ENSG00000157911.9	0.58183210565146
ENSG00000149527.17	2.09609052864924
ENSG00000229393.1	-2.22171272911736
ENSG00000157881.13	0.8290977107686751
ENSG00000197921.5	3.85615039628415
ENSG00000272449.2	2.3312100306402503
ENSG00000238164.6	-0.249935754215369
ENSG00000157873.17	0.239599663597309
ENSG00000225931.3	-1.5804638008004999
ENSG00000228037.1	-0.8506200295776941
ENSG00000157870.14	0.48536999416286997
ENSG00000142606.15	-1.9961745379273799
ENSG00000215912.12	1.03618008690153
ENSG00000177133.10	5.39069502652718
ENSG00000142611.16	3.9944686723695098
ENSG00000130762.14	-1.29199043559096
ENSG00000162591.15	0.8635421715141891
ENSG00000238260.1	-0.113412826387498
ENSG00000158109.14	0.552589146757738
ENSG00000116213.15	0.33786408717776595
ENSG00000078900.14	0.6701444837088271
ENSG00000227372.11	0.7212769054737059
ENSG00000235169.8	-0.520425223510393
ENSG00000130764.9	0.5464334754112701
ENSG00000266075.2	-0.894374124385134
ENSG00000272153.1	0.577148167599628
ENSG00000116198.12	0.581737710957352
ENSG00000169598.15	0.876716762086003
ENSG00000198912.10	0.336278426113984
ENSG00000236423.5	1.6060806377398997
ENSG00000284668.1	-2.54734201854591
ENSG00000264101.1	-2.1761016761936998
ENSG00000131697.17	0.23727928159455702
ENSG00000069424.14	-2.4716373072171
ENSG00000116254.17	1.1574313299393701
ENSG00000116251.9	0.21657980597572501
ENSG00000226944.1	-0.9365118634684141
ENSG00000158286.12	-0.0801843409696109
ENSG00000116237.15	0.247375574138803
ENSG00000225077.2	0.153471547257301
ENSG00000158292.6	0.6939350511559549
ENSG00000097021.19	0.316214538750882
ENSG00000069812.11	0.939893389470022
ENSG00000187017.16	2.26593824551603
ENSG00000231868.1	3.40380563994117
ENSG00000215788.9	-0.41862354182611206
ENSG00000171680.21	-0.5731412153236422
ENSG00000162408.10	-0.0132226622277071
ENSG00000229519.2	-1.07319966628542
ENSG00000204859.12	0.12733118079932698
ENSG00000162413.16	0.256423842121104
ENSG00000116273.5	0.30680710645644704
ENSG00000041988.15	0.16856185133108803
ENSG00000007923.15	0.283349200402591
ENSG00000237436.1	-0.503566965350345
ENSG00000171735.18	0.7621032659899591
ENSG00000049245.12	0.381498593948508
ENSG00000269925.1	0.291264037814485
ENSG00000049246.14	-0.111041226818284
ENSG00000236266.1	-0.179956258979452
ENSG00000049249.8	0.182932359245586
ENSG00000116288.12	0.31093140390767404
ENSG00000200344.1	0.514316134259595
ENSG00000284747.1	0.126923176191793
ENSG00000116285.12	1.58850243218395
ENSG00000238290.1	0.687912169924805
ENSG00000232848.1	2.08153965299269
ENSG00000227634.2	0.6970051589736961
ENSG00000162426.14	1.52362275394632
ENSG00000142599.17	0.194678929547248
ENSG00000232912.5	1.63573370421226
ENSG00000234619.1	-1.15206310708707
ENSG00000074800.14	0.620455769506953
ENSG00000274258.1	-0.444496206396465
ENSG00000230679.1	-0.535431225264984
ENSG00000238249.2	2.47504560353577
ENSG00000142583.17	1.1087644077108798
ENSG00000180758.11	0.477209971512551
ENSG00000228526.7	0.7449653709342801
ENSG00000049239.12	0.374649642339344
ENSG00000171621.13	1.30239535987547
ENSG00000284652.1	0.9331735740897371
ENSG00000284693.1	0.7884249318647879
ENSG00000171612.6	0.7091250506776491
ENSG00000231181.1	1.2361719029277
ENSG00000188807.12	0.43897355865518606
ENSG00000171608.15	-0.659561143149742
