index_drop_dot	diff
ENSG00000158639	9.1164640634392
ENSG00000178776	8.35555163605946
ENSG00000002745	-3.1280453725606203
ENSG00000003249	-1.78124643777312
ENSG00000003436	-0.8836147127825509
ENSG00000004799	-4.449446042290759
ENSG00000004948	-1.96766712207511
ENSG00000005243	-2.0100732474009297
ENSG00000005379	-1.26983393636633
ENSG00000005844	-0.917546154471766
ENSG00000006042	-1.45412803622435
ENSG00000006118	-0.9286713085445691
ENSG00000006283	-2.2434781864512003
ENSG00000007171	-1.8760286873466598
ENSG00000007372	-1.67371056070896
ENSG00000007516	-1.8042410592428002
ENSG00000008118	-0.984058262794708
ENSG00000008517	-0.901791948761152
ENSG00000010319	-1.08362842102308
ENSG00000010327	-1.79184829639974
ENSG00000010704	-0.862814341179746
ENSG00000011028	-1.2406847684506002
ENSG00000011083	-1.8095020263627901
ENSG00000013297	-2.2663854653018998
ENSG00000015413	-1.0763541550762699
ENSG00000018236	-3.8553171025211297
ENSG00000019186	-2.8351131544707
ENSG00000019582	-0.895703736117072
ENSG00000020181	-1.09516863416601
ENSG00000020633	-1.51501306151122
ENSG00000021645	-1.03441638963536
ENSG00000021826	-1.02901854936223
ENSG00000023892	-1.099377903061
ENSG00000025434	-1.5970322415898202
ENSG00000025708	-2.04021077361481
ENSG00000028137	-2.14208661902799
ENSG00000028277	-0.9820054760395859
ENSG00000038295	-0.939763795396965
ENSG00000038427	-1.42956697807518
ENSG00000039523	-1.06261163023928
ENSG00000040199	-0.9874677501576109
ENSG00000041982	-1.16471701109907
ENSG00000042062	-1.26776027578453
ENSG00000042781	-1.8152354722259598
ENSG00000042980	-3.0542844891282006
ENSG00000048342	-1.4181532911888501
ENSG00000049759	-0.8401016886375999
ENSG00000050327	-1.4690846940614
ENSG00000050555	-2.1678767884807
ENSG00000050628	-3.52988949962912
ENSG00000050730	-3.62372500206999
ENSG00000050820	-0.9478238888973799
ENSG00000051108	-0.8600114009635691
ENSG00000051523	-1.3388434228934099
ENSG00000052344	-1.89159166649722
ENSG00000054219	-1.15207675934054
ENSG00000054356	-1.53915672572007
ENSG00000054983	-1.448361586234
ENSG00000055813	-2.901186257628
ENSG00000055955	-0.875000246621541
ENSG00000057149	-4.37799775939994
ENSG00000060140	-1.3728825607701498
ENSG00000060566	-5.397971820736751
ENSG00000060718	-3.02438239139881
ENSG00000062524	-2.13189605178848
ENSG00000063015	-1.50409254501501
ENSG00000063127	-2.3372185578901097
ENSG00000063438	-2.00959011936156
ENSG00000064012	-1.06926102688555
ENSG00000064042	-0.933646347057783
ENSG00000064547	-1.41675117357002
ENSG00000064666	-0.9278155748356421
ENSG00000064687	-0.932307169961239
ENSG00000064787	-1.34842177684975
ENSG00000064989	-2.3452292464296
ENSG00000065320	-1.03194781342802
ENSG00000065427	-0.9769839299340759
ENSG00000065609	-1.38919323473998
ENSG00000065621	-1.54384186461827
ENSG00000065717	-1.1775431022599099
ENSG00000065833	-0.891318574909943
ENSG00000066032	-1.7444055970387
ENSG00000066056	-3.08092221377248
ENSG00000066336	-1.90329773007488
ENSG00000066468	-0.980086026023657
ENSG00000067365	-0.9493408245078699
ENSG00000067840	-1.76843563093907
ENSG00000067955	-0.8435008243179641
ENSG00000068784	-0.88779190107085
ENSG00000068831	-0.925904029747968
ENSG00000069424	-2.4716373072171
ENSG00000069431	-1.1996264026178
ENSG00000070019	-1.01255846674235
ENSG00000070087	-1.17749376757493
ENSG00000070190	-2.39993189772744
ENSG00000070388	-2.18047897592234
ENSG00000070915	-4.35575792815336
ENSG00000072182	-2.9850416047791404
ENSG00000072274	-1.2037333891142399
ENSG00000072778	-1.74176773636742
ENSG00000072858	-2.4535113283847902
ENSG00000073150	-0.87070763490502
ENSG00000073756	-1.47883460041343
ENSG00000074181	-1.4091253899169698
ENSG00000074660	-2.00820980628245
ENSG00000075073	-1.67146111776093
ENSG00000075275	-1.53308926576177
ENSG00000075884	-1.20240839772648
ENSG00000076706	-1.5515284775993299
ENSG00000076716	-3.78047069232473
ENSG00000078589	-1.7022322547392499
ENSG00000079101	-1.4519706428740502
ENSG00000079931	-1.25756949062122
ENSG00000080166	-1.8247679743801102
ENSG00000080493	-1.39709064939046
ENSG00000080618	-1.22201130308442
ENSG00000081041	-0.8515745526004559
ENSG00000081051	-2.28988072935747
ENSG00000081052	-3.10023504615795
ENSG00000082397	-0.859079221122083
ENSG00000083307	-1.35133915348131
ENSG00000084453	-2.79295148448142
ENSG00000084636	-1.49418287897091
ENSG00000085117	-0.940357601391855
ENSG00000085563	-6.06279206979603
ENSG00000085662	-0.862134300686241
ENSG00000086696	-5.66476365159781
ENSG00000087076	-2.32471394232142
ENSG00000087128	-3.62677909359624
ENSG00000087237	-1.3212957639398302
ENSG00000087253	-1.4680264382709802
ENSG00000087258	-1.70655737705749
ENSG00000087589	-0.8743273178838921
ENSG00000088002	-1.9301929845236
ENSG00000088826	-0.9581197776606171
ENSG00000089199	-4.76708406736343
ENSG00000089505	-1.07651151909543
ENSG00000089692	-1.2730048886686
ENSG00000089723	-1.0173265817544301
ENSG00000090339	-2.2509404884507003
ENSG00000090863	-1.13978509342589
ENSG00000090932	-1.52025689225527
ENSG00000091106	-0.8430119979467622
ENSG00000091129	-1.67600294388675
ENSG00000091136	-0.8635767019990092
ENSG00000091831	-1.2233521630451698
ENSG00000092051	-1.35984229036338
ENSG00000092200	-0.978259629381068
ENSG00000093217	-1.10520166820378
ENSG00000095539	-1.14714096861174
ENSG00000095752	-1.42431606882017
ENSG00000095932	-1.69693880268052
ENSG00000096006	-5.09628851866042
ENSG00000099256	-1.1045767127542099
ENSG00000099284	-1.39742870381652
ENSG00000099954	-1.2941300533187101
ENSG00000099968	-0.9850563126458521
ENSG00000100077	-0.984118250096364
ENSG00000100078	-4.68812130547184
ENSG00000100092	-0.9281719586761721
ENSG00000100100	-0.9461038211998319
ENSG00000100156	-1.86501877995194
ENSG00000100206	-1.4704969421418101
ENSG00000100253	-1.20305554765847
ENSG00000100276	-1.9293431656367799
ENSG00000100368	-1.61663562326859
ENSG00000100385	-4.15415126989034
ENSG00000100473	-1.25332479912538
ENSG00000100626	-1.32699804508789
ENSG00000100628	-1.74605700432901
ENSG00000100629	-0.873648909684152
ENSG00000100652	-0.8774541228915881
ENSG00000100867	-1.04033497728479
ENSG00000100979	-0.9654991926122489
ENSG00000100985	-7.006329355301629
ENSG00000101017	-1.11343678217648
ENSG00000101049	-1.25557702002384
ENSG00000101076	-1.88337727091743
ENSG00000101115	-1.4439999558144598
