gene_id	gene_name	HLO.0.r1	HLO.0.r2	HLO.5.r1	HLO.5.r2	HLO.9.r1	HLO.9.r2	HLO.15.r1	HLO.15.r2	HLO.25.r1	HLO.25.r2	HLO.35.r1	HLO.35.r2	HLO.50.r3	HLO.50.r4
1	ENSG00000000003.15	TSPAN6	253.58303477539	259.420204852185	111.22451869837	124.061460653515	801.278139192708	725.971559867991	408.022290689466	425.517723195177	381.568400281672	337.230054066463	280.484418181037	303.108360458332	203.113828572708	154.73391593487
2	ENSG00000001036.14	FUCA2	51.0406747311488	43.7453678770351	81.4117611091158	62.5998195958102	53.8247672715001	50.8082383756871	82.3671166251633	84.1067242040248	71.188134380909	62.3034997248891	55.4127752991804	50.4155893662945	31.2482813188781	32.4442081798921
3	ENSG00000001084.13	GCLC	38.8881331284943	36.6240289203085	65.3587377918254	56.908926905282	57.8870138580284	65.4644609840584	44.2341922616618	51.0870472942966	37.0178298780727	30.6572776424058	47.2034752548574	43.0376982395197	39.0603516485976	27.4527915368318
4	ENSG00000001629.10	ANKIB1	113.423721624775	121.062762264353	128.424186538324	135.443246034571	191.941151213462	208.118361038872	127.363967374095	125.848579920096	127.426760541827	111.750721728769	168.974759245649	153.706065141142	145.825312821431	134.768249362629
5	ENSG00000002834.18	LASP1	97.2203328212358	87.4907357540702	104.344651562388	101.297889891402	53.8247672715001	51.7853198829119	37.3702658762315	54.8251239255866	79.018829162809	68.2371663653547	109.457333924307	111.283191162187	117.181054945793	77.3669579674351
6	ENSG00000003056.8	M6PR	64.0033857739802	57.9880457904884	26.3728240212629	37.5598917574861	44.6847124518114	42.0145048106643	31.2689979780713	39.8728174004266	43.4247619723545	29.6683332023281	28.0484418181037	32.5856858099221	31.2482813188781	57.4012913951938
7	ENSG00000003147.19	ICA1	57.5220302525645	49.8493726970865	47.0124254292077	29.5926419907466	48.7469590383397	54.7165644045861	32.7943149526113	41.1188429441899	34.8821858466454	50.4361664439579	74.5678087359341	65.7861958804087	88.5367970701546	77.3669579674351
8	ENSG00000003393.15	ALS2	47.7999969704409	41.7106996036846	50.4523589971985	47.8034986004369	61.9492604445567	72.3040315346317	35.0822904144214	34.8887152253733	36.3059485342636	25.7125554420177	23.2596834589152	28.2819159859701	31.2482813188781	47.4184581090731
9	ENSG00000003756.17	RBM5	63.1932163338033	69.178721293916	87.1449837224338	101.297889891402	181.785534747142	210.072524053322	133.465235272255	122.110503288806	109.6297269466	121.640166129545	115.614308957549	96.5274089086371	140.617265934952	142.255374327219
10	ENSG00000004455.17	AK2	86.6881300989353	90.5427381640959	30.9594021119173	29.5926419907466	37.5757809253868	35.1749342600911	61.0126789816025	90.3368519228415	98.9515067894636	85.049221846674	78.6724587580956	73.7789112677481	59.8925391945164	72.3755413243748
11	ENSG00000004478.8	FKBP4	213.884732206719	210.588166291774	119.251030357015	121.785103577304	54.8403289181321	47.8769938540129	85.4177505742434	62.9242899600482	102.510913508509	104.828110648226	114.930200620522	100.216354472025	78.1207032971953	67.3841246813144
12	ENSG00000004487.17	KDM1A	68.0542329748651	78.3347285239931	37.8392692478989	46.6653200623312	51.7936439782359	40.0603417962148	61.0126789816025	56.0711494693499	48.4079313790182	54.3919442042683	36.2577418624267	47.9562923240363	59.8925391945164	52.4098747521335
13	ENSG00000004534.15	RBM6	103.701688342652	75.2827261139674	134.157409151642	138.857781648888	141.163068881859	138.745574025915	125.075991912285	124.602554376333	123.155472478973	110.761777288692	114.246092283495	99.6015302114599	148.429336264671	172.203874185581
14	ENSG00000004779.10	NDUFAB1	230.898290450435	219.744173521851	133.010764628978	150.239567029945	94.4472331367831	83.0519281141039	89.2310430105936	120.864477745043	160.173302357045	129.551721650166	107.405008913226	137.105810105899	114.577031502553	122.289707754978
15	ENSG00000004897.12	CDC27	167.705074116632	165.825464278063	160.530233172904	162.759530949107	172.645479927453	211.049605560546	176.936769046647	166.344410092405	150.206963543718	146.363777131486	136.137559068357	137.105810105899	104.160937729594	94.8369162181463
16	ENSG00000004975.12	DVL2	34.0271164874325	33.5720265102828	61.9188042238346	44.38896298612	60.9336987979246	46.8999123467881	54.9114110834422	46.7259578911249	44.1366433161636	51.4251108840355	49.2558002659381	43.6525225000843	41.6643750918375	54.9055830736636
17	ENSG00000005007.13	UPF1	118.284738265837	124.114764674379	95.1714953810791	135.443246034571	123.898520889113	161.218448692084	154.057014428546	142.04691198902	104.646557539936	122.629110569623	136.821667405384	140.179931408721	122.389101832273	144.75108264875
18	ENSG00000005022.6	SLC25A5	88.3084689792892	89.5254040274207	53.8922925651894	71.7052479006553	36.5602192787548	20.5187116517198	69.4019223415728	87.2217880634332	91.1208120075636	74.1708330058204	102.616250554038	107.594245598799	104.160937729594	64.8884163597843
19	ENSG00000005075.15	POLR2J	93.169485620351	89.5254040274207	94.0248508584155	106.98878258193	86.3227399637265	92.8227431863515	102.958895781454	93.4519157822498	93.2564560389909	106.805999528381	61.5697503324226	70.0899657043607	49.476445421557	47.4184581090731
20	ENSG00000005100.13	DHX33	59.1423691329184	66.1267188838903	38.9859137705625	50.0798556766482	35.5446576321227	33.2207712456416	61.7753374688725	73.5155070820365	27.7633724085545	26.7014998820953	38.9941752105343	52.2600621479882	39.0603516485976	44.922749787543
