GO	[-6.64 -3.54]	[-3.54 -1.57]	[-1.57 -1.06]	[-1.06 -0.73]	[-0.73 0.63]	[0.63 0.95]	[0.95 1.36]	[1.36 2.01]	[2.01 3.93]	[3.93 4.95]	[4.95 6.78]
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	0.874	-0.914	-0.407	0.490	-0.914	-0.407	-0.914	-0.407	-0.914	1.359	2.632
CHUNG_BLISTER_CYTOTOXICITY_UP CHUNG_BLISTER_CYTOTOXICITY_UP	-0.522	0.370	-1.081	2.805	0.370	1.583	-0.522	-1.081	-0.522	0.370	-1.068
YAGI_AML_WITH_T_9_11_TRANSLOCATION YAGI_AML_WITH_T_9_11_TRANSLOCATION	1.216	-0.204	-0.998	3.062	-0.464	-0.204	-0.998	-0.464	-0.998	-0.464	0.785
DASU_IL6_SIGNALING_SCAR_UP DASU_IL6_SIGNALING_SCAR_UP	-0.789	-0.789	0.278	-0.325	-0.789	1.058	0.278	2.275	-0.789	-0.789	1.072
CHEN_HOXA5_TARGETS_9HR_DN CHEN_HOXA5_TARGETS_9HR_DN	-0.664	-0.664	0.362	1.293	0.762	-0.664	-0.664	-0.664	0.362	-0.664	1.963
ZHAN_MULTIPLE_MYELOMA_MS_DN ZHAN_MULTIPLE_MYELOMA_MS_DN	0.892	-0.581	-0.581	-0.200	4.021	-0.200	-0.581	-0.581	-0.200	-0.200	-0.574
DANG_REGULATED_BY_MYC_UP DANG_REGULATED_BY_MYC_UP	-0.664	0.762	-0.664	-0.664	0.362	1.943	-0.664	0.762	0.762	-0.664	-0.657
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_DN CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_DN	-0.498	1.733	1.733	-0.498	-0.498	-0.498	0.524	-0.498	-0.498	0.524	-0.492
AMIT_SERUM_RESPONSE_480_MCF10A AMIT_SERUM_RESPONSE_480_MCF10A	-0.540	-0.540	0.968	0.476	-0.540	2.374	-0.540	-0.540	-0.540	-0.177	0.482
ZHAN_MULTIPLE_MYELOMA_HP_DN ZHAN_MULTIPLE_MYELOMA_HP_DN	-0.332	-0.332	-0.332	1.529	-0.332	-0.332	-0.332	-0.332	0.272	2.455	-0.328
FARMER_BREAST_CANCER_CLUSTER_5 FARMER_BREAST_CANCER_CLUSTER_5	-0.373	-0.373	-0.373	-0.373	-0.373	0.239	0.239	-0.373	3.250	0.711	-0.369
